date,incidents
2018-05,134
2017-12,95
2018-01,98
2017-09,231
2018-07,114
2018-06,138
2018-04,101
2018-03,136
2018-02,109
2017-11,145
2017-10,159
2017-08,268
2017-07,121
2017-06,46
2017-05,254
2017-04,243
2017-03,268
2017-02,237
2017-01,257
2016-12,237
2016-11,259
2016-10,279
2016-09,238
2016-08,265
2016-07,257
2016-06,254
2016-05,258
2016-04,277
2016-03,244
2016-02,264
2016-01,220
2015-12,261
2015-11,301
2015-10,282
2015-09,252
2015-08,286
2015-07,296
2015-06,221
2015-05,225
2015-04,220
2015-03,252
2015-02,231
2015-01,264
2014-12,262
2014-11,311
2014-10,316
2014-09,279
2014-08,294
2014-07,298
2014-06,321
2014-05,335
2014-04,262
2014-03,260
2014-02,204
2014-01,241
2013-12,289
2013-11,317
2013-10,315
2013-09,377
2013-08,348
2013-07,313
2013-06,324
2013-05,265
2013-04,266
2013-03,302
2013-02,265
2013-01,250
2012-12,212
2012-11,255
2012-10,270
2012-09,309
2012-08,284
2012-07,308
2012-06,293
2012-05,293
2012-04,249
2012-03,195
2012-02,228
2012-01,184
2011-12,149
2011-11,119
2011-10,140
2011-09,140
2011-08,138
2011-07,148
2011-06,175
2011-05,153
2011-04,111
2011-03,102
2011-02,82
2011-01,86
2010-12,73
2010-11,83
2010-10,103
2010-09,70
2010-08,89
2010-07,86
2010-06,40
2010-05,56
2010-04,62
2010-03,60
2010-02,31
2010-01,53
2009-12,55
2009-11,59
2009-10,53
2009-09,61
2009-08,46
2009-07,58
2009-06,67
2009-05,52
2009-04,59
2009-03,54
2009-02,48
2009-01,60
2008-12,68
2008-11,64
2008-10,53
2008-09,70
2008-08,79
2008-07,58
2008-06,61
2008-05,65
2008-04,69
2008-03,87
2008-02,51
2008-01,55
2007-12,53
2007-11,50
2007-10,44
2007-09,65
2007-08,63
2007-07,54
2007-06,77
2007-05,66
2007-04,74
2007-03,67
2007-02,68
2007-01,77
2006-12,86
2006-11,102
2006-10,87
2006-09,79
2006-08,89
2006-07,79
2006-06,80
2006-05,103
2006-04,72
2006-03,106
